Date,VIX,Open,High,Low,Close,regime_class
1991-08-02,15.26,387.12,389.56,386.05,387.18,1
1991-08-05,15.92,387.17,387.17,384.48,385.06,1
1991-08-06,15.54,385.06,390.8,384.29,390.62,1
1991-08-07,15.56,390.62,391.59,389.86,390.56,1
1991-08-08,15.98,390.56,391.8,388.15,389.32,1
1991-08-09,15.45,389.32,389.89,387.04,387.12,1
1991-08-12,15.26,387.11,388.17,385.9,388.02,2
1991-08-13,14.73,388.02,392.12,388.02,389.62,2
1991-08-14,15.09,389.62,391.85,389.13,389.9,2
1991-08-15,15.19,389.91,391.92,389.29,389.33,2
1991-08-16,16.01,389.33,390.41,383.16,385.58,2
1991-08-19,21.19,385.58,385.58,374.09,376.47,2
1991-08-20,18.86,376.47,380.35,376.47,379.43,2
1991-08-21,15.62,379.55,390.59,379.55,390.59,2
1991-08-22,14.59,390.59,391.98,390.21,391.33,2
1991-08-23,14.41,391.33,395.34,390.69,394.17,2
1991-08-26,14.81,394.17,394.39,392.75,393.85,2
1991-08-27,15.46,393.85,393.87,391.77,393.06,2
1991-08-28,15.31,393.06,396.64,393.05,396.64,2
1991-08-29,14.82,396.65,396.82,395.14,396.47,2
1991-08-30,14.46,396.47,396.47,393.6,395.43,2
1991-09-03,16.57,395.43,397.62,392.1,392.15,2
1991-09-04,17.18,392.15,392.62,388.68,389.97,2
1991-09-05,17.31,389.97,390.97,388.49,389.14,2
1991-09-06,16.76,389.14,390.71,387.36,389.1,2
1991-09-09,17.73,389.11,389.34,387.88,388.57,3
1991-09-10,18.22,388.57,388.63,383.78,384.56,3
1991-09-11,17.96,384.56,385.6,383.59,385.09,3
1991-09-12,16.21,385.09,387.34,385.09,387.34,3
1991-09-13,17.88,387.16,387.95,382.85,383.59,3
1991-09-16,17.82,383.59,385.79,382.77,385.78,3
1991-09-17,17.68,385.78,387.13,384.97,385.5,3
1991-09-18,17.56,385.49,386.94,384.28,386.94,3
1991-09-19,17.56,386.94,389.42,386.27,387.56,3
1991-09-20,17.08,387.56,388.82,386.49,387.92,3
1991-09-23,16.38,387.9,388.55,385.76,385.92,3
1991-09-24,16.04,385.92,388.13,384.46,387.71,3
1991-09-25,15.68,387.72,388.25,385.99,386.88,3
1991-09-26,15.35,386.87,388.39,385.3,386.49,3
1991-09-27,16.31,386.49,389.09,384.87,385.9,3
1991-09-30,15.85,385.91,388.29,384.32,387.86,3
1991-10-01,14.81,387.86,389.56,387.86,389.2,3
1991-10-02,15.81,389.2,390.03,387.62,388.26,3
1991-10-03,17.04,388.23,388.23,384.47,384.47,3
1991-10-04,15.63,384.47,385.19,381.24,381.25,3
1991-10-07,18.58,381.22,381.27,379.07,379.5,3
1991-10-08,17.81,379.5,381.23,379.18,380.67,3
1991-10-09,18.54,380.57,380.57,376.35,376.8,4
1991-10-10,17.8,376.8,380.55,376.11,380.55,4
1991-10-11,17.6,380.55,381.46,379.9,381.45,4
1991-10-14,16.71,381.45,386.47,381.45,386.47,4
1991-10-15,16.22,386.47,391.5,385.95,391.01,4
1991-10-16,14.85,391.01,393.29,390.14,392.8,4
1991-10-17,16.32,392.79,393.81,390.32,391.92,4
1991-10-18,15.87,391.92,392.8,391.77,392.5,4
1991-10-21,16.66,392.49,392.49,388.96,390.02,4
1991-10-22,16.55,390.02,391.2,387.4,387.83,4
1991-10-23,16.26,387.83,389.08,386.52,387.94,4
1991-10-24,15.62,387.94,388.32,383.45,385.07,4
1991-10-25,15.75,385.07,386.13,382.97,384.2,4
1991-10-28,15.45,384.2,389.52,384.2,389.52,4
1991-10-29,15.55,389.52,391.7,386.88,391.48,4
1991-10-30,15.46,391.48,393.11,390.78,392.96,4
1991-10-31,15.48,392.96,392.96,391.58,392.45,4
1991-11-01,15.6,392.46,395.1,389.67,391.32,4
1991-11-04,16.35,391.29,391.29,388.09,390.28,4
1991-11-05,16.48,390.28,392.17,388.19,388.71,4
1991-11-06,16.47,388.71,389.97,387.58,389.97,4
1991-11-07,15.97,389.97,393.72,389.97,393.72,5
1991-11-08,15.43,393.72,396.43,392.42,392.89,5
1991-11-11,14.89,392.9,393.57,392.32,393.12,5
1991-11-12,14.04,393.12,397.13,393.12,396.74,5
1991-11-13,13.95,396.74,397.42,394.01,397.41,5
1991-11-14,13.96,397.41,398.22,395.85,397.15,5
1991-11-15,21.18,397.15,397.16,382.62,382.62,5
1991-11-18,18.28,382.62,385.4,379.7,385.24,5
1991-11-19,20.34,385.24,385.24,374.9,379.42,5
1991-11-20,20.4,379.42,381.51,377.84,378.53,5
1991-11-21,19.11,378.53,381.12,377.41,380.06,5
1991-11-22,21.2,380.05,380.05,374.52,376.14,5
1991-11-25,21.92,376.14,377.07,374.0,375.34,5
1991-11-26,19.8,375.34,378.29,371.63,377.96,5
1991-11-27,19.84,377.96,378.11,375.98,376.55,5
1991-11-29,20.26,376.55,376.55,374.65,375.22,5
1991-12-02,20.18,375.11,381.4,371.36,381.4,5
